molecule_chembl_id,pchembl_value,standard_type,standard_units,standard_value,target_chembl_id,target_pref_name,type,units,value
CHEMBL2,8.70,Kd,nM,1.995,CHEMBL1907610,Adrenergic receptor alpha-1,pA2,,8.7
CHEMBL2,5.60,Kd,nM,2511.89,CHEMBL2093864,Adrenergic receptor alpha-2,pA2,,5.6
CHEMBL2,,Ratio,,1258.9,CHEMBL1907610,Adrenergic receptor alpha-1,Ratio,,1258.9
CHEMBL2,8.98,Ki,nM,1.05,CHEMBL319,Alpha-1A adrenergic receptor,Ki,nM,1.05
CHEMBL2,8.53,Ki,nM,2.93,CHEMBL315,Alpha-1B adrenergic receptor,Ki,nM,2.93
CHEMBL6,,IC50,nM,630957344.48,CHEMBL2096674,Cyclooxygenase,Log 1/IC50,,0.2
CHEMBL6,,Log 1/ED40,,-0.15,CHEMBL376,Rattus norvegicus,Log 1/ED40,,-0.15
CHEMBL6,,LogD,,1.0,CHEMBL2362975,No relevant target,logD,,1.0
CHEMBL6,,pKa,,4.2,CHEMBL2362975,No relevant target,pKa,,4.2
CHEMBL8,,MIC,ug.mL-1,0.0381,CHEMBL350,Klebsiella pneumoniae,MIC,ug ml-1,0.0381
CHEMBL8,,MIC,ug.mL-1,0.0095,CHEMBL350,Klebsiella pneumoniae,MIC,ug ml-1,0.0095
CHEMBL8,,MIC,ug.mL-1,0.0095,CHEMBL614595,Shigella sonnei,MIC,ug ml-1,0.0095
CHEMBL8,,MIC,ug.mL-1,0.0095,CHEMBL614395,Shigella boydii,MIC,ug ml-1,0.0095
CHEMBL8,,MIC,ug.mL-1,0.019,CHEMBL614405,Plesiomonas shigelloides,MIC,ug ml-1,0.019
CHEMBL8,,MIC,ug.mL-1,0.0095,CHEMBL614443,Morganella morganii,MIC,ug ml-1,0.0095
CHEMBL8,,MIC,ug.mL-1,0.0095,CHEMBL352,Staphylococcus aureus,MIC,ug ml-1,0.0095
CHEMBL8,,MIC,ug.mL-1,0.0381,CHEMBL348,Pseudomonas aeruginosa,MIC,ug ml-1,0.0381
CHEMBL8,,MIC,ug.mL-1,0.0095,CHEMBL612621,Vibrio mimicus,MIC,ug ml-1,0.0095
CHEMBL8,,MIC,ug.mL-1,0.0095,CHEMBL614602,Vibrio fluvialis,MIC,ug ml-1,0.0095
CHEMBL8,,MIC,ug.mL-1,0.0095,CHEMBL614402,Vibrio cholerae,MIC,ug ml-1,0.0095
CHEMBL8,,MIC,ug.mL-1,0.0095,CHEMBL614403,Vibrio parahaemolyticus,MIC,ug ml-1,0.0095
CHEMBL8,,MIC,ug.mL-1,0.019,CHEMBL354,Escherichia coli,MIC,ug ml-1,0.019
CHEMBL8,,MIC,ug.mL-1,0.0095,CHEMBL614598,Edwardsiella tarda,MIC,ug ml-1,0.0095
CHEMBL8,,MIC,ug.mL-1,0.019,CHEMBL614450,Proteus vulgaris,MIC,ug ml-1,0.019
CHEMBL8,,MIC,ug.mL-1,0.0095,CHEMBL614444,Proteus mirabilis,MIC,ug ml-1,0.0095
CHEMBL8,,MIC,ug.mL-1,0.0095,CHEMBL351,Salmonella typhimurium,MIC,ug ml-1,0.0095
CHEMBL8,,MIC,ug.mL-1,0.019,CHEMBL612293,Salmonella paratyphi,MIC,ug ml-1,0.019
CHEMBL8,,MIC,ug.mL-1,0.019,CHEMBL614448,Salmonella typhi,MIC,ug ml-1,0.019
CHEMBL8,,MIC,ug.mL-1,0.0095,CHEMBL614447,Salmonella enteritidis,MIC,ug ml-1,0.0095
CHEMBL8,,MIC,ug.mL-1,0.0095,CHEMBL612615,Citrobacter freundii,MIC,ug ml-1,0.0095
CHEMBL8,,MIC,ug.mL-1,0.019,CHEMBL614439,Enterobacter,MIC,ug ml-1,0.019
CHEMBL8,,MIC,ug.mL-1,0.0095,CHEMBL613071,Priestia megaterium,MIC,ug ml-1,0.0095
CHEMBL6,,Log K',,0.47,CHEMBL3253,Albumin,Log K',,0.47
CHEMBL2,,Log K',,0.06,CHEMBL3253,Albumin,Log K',,0.06
CHEMBL6,,LogP,,2.0,CHEMBL2362975,No relevant target,logP,,2.0
CHEMBL6,,Log B/F,,0.919,CHEMBL3253,Albumin,Log B/F,,0.919
CHEMBL6,,Log B/F,,0.205,CHEMBL369,Cavia porcellus,Log B/F,,0.205
CHEMBL8,,Concentration,ug ml-1,0.5,CHEMBL2094139,DNA gyrase,Concentration,ug ml-1,0.5
CHEMBL8,,Concentration,ug ml-1,5.3,CHEMBL2094139,DNA gyrase,Concentration,ug ml-1,5.3
CHEMBL8,,MIC,ug.mL-1,0.025,CHEMBL354,Escherichia coli,MIC,ug ml-1,0.025
CHEMBL8,,MIC,ug.mL-1,0.05,CHEMBL354,Escherichia coli,MIC,ug ml-1,0.05
CHEMBL8,,MIC,ug.mL-1,0.1,CHEMBL350,Klebsiella pneumoniae,MIC,ug ml-1,0.1
CHEMBL8,,MIC,ug.mL-1,0.1,CHEMBL612537,Providencia rettgeri,MIC,ug ml-1,0.1
CHEMBL8,,MIC,ug.mL-1,0.05,CHEMBL349,Enterobacter cloacae,MIC,ug ml-1,0.05
CHEMBL8,,MIC,ug.mL-1,0.4,CHEMBL348,Pseudomonas aeruginosa,MIC,ug ml-1,0.4
CHEMBL8,,MIC,ug.mL-1,3.1,CHEMBL352,Staphylococcus aureus,MIC,ug ml-1,3.1
CHEMBL8,,MIC,ug.mL-1,0.2,CHEMBL352,Staphylococcus aureus,MIC,ug ml-1,0.2
CHEMBL8,,MIC,ug.mL-1,0.8,CHEMBL362,Enterococcus faecalis,MIC,ug ml-1,0.8
CHEMBL8,,MIC,ug.mL-1,1.6,CHEMBL347,Streptococcus pneumoniae,MIC,ug ml-1,1.6
CHEMBL8,,MIC,ug.mL-1,0.8,CHEMBL356,Streptococcus pyogenes,MIC,ug ml-1,0.8
CHEMBL8,,MIC,ug.mL-1,0.06,CHEMBL614439,Enterobacter,MIC,ug ml-1,0.06
CHEMBL8,,PD50,mg kg-1,1.0,CHEMBL375,Mus musculus,PD50,mg kg-1,1.0
CHEMBL8,,PD50,mg kg-1,0.3,CHEMBL375,Mus musculus,PD50,mg kg-1,0.3
CHEMBL8,,PD50,mg kg-1,25.0,CHEMBL375,Mus musculus,PD50,mg kg-1,25.0
CHEMBL8,,PD50,mg kg-1,5.0,CHEMBL375,Mus musculus,PD50,mg kg-1,5.0
CHEMBL8,,PD50,mg kg-1,100.0,CHEMBL375,Mus musculus,PD50,mg kg-1,100.0
CHEMBL8,,PD50,mg kg-1,20.0,CHEMBL375,Mus musculus,PD50,mg kg-1,20.0
CHEMBL8,,PD50,mg kg-1,29.0,CHEMBL375,Mus musculus,PD50,mg kg-1,29.0
CHEMBL9,,Concentration,ug ml-1,1.0,CHEMBL2094139,DNA gyrase,Concentration,ug ml-1,1.0
CHEMBL9,,Concentration,ug ml-1,5.5,CHEMBL2094139,DNA gyrase,Concentration,ug ml-1,5.5
CHEMBL9,,MIC,ug.mL-1,0.1,CHEMBL354,Escherichia coli,MIC,ug ml-1,0.1
CHEMBL9,,MIC,ug.mL-1,0.025,CHEMBL354,Escherichia coli,MIC,ug ml-1,0.025
CHEMBL9,,MIC,ug.mL-1,0.05,CHEMBL350,Klebsiella pneumoniae,MIC,ug ml-1,0.05
CHEMBL9,,MIC,ug.mL-1,0.05,CHEMBL612537,Providencia rettgeri,MIC,ug ml-1,0.05
CHEMBL9,,MIC,ug.mL-1,0.1,CHEMBL349,Enterobacter cloacae,MIC,ug ml-1,0.1
CHEMBL9,,MIC,ug.mL-1,0.2,CHEMBL348,Pseudomonas aeruginosa,MIC,ug ml-1,0.2
CHEMBL9,,MIC,ug.mL-1,0.8,CHEMBL352,Staphylococcus aureus,MIC,ug ml-1,0.8
CHEMBL9,,MIC,ug.mL-1,0.05,CHEMBL352,Staphylococcus aureus,MIC,ug ml-1,0.05
CHEMBL9,,MIC,ug.mL-1,1.6,CHEMBL362,Enterococcus faecalis,MIC,ug ml-1,1.6
CHEMBL9,,MIC,ug.mL-1,1.6,CHEMBL347,Streptococcus pneumoniae,MIC,ug ml-1,1.6
CHEMBL9,,MIC,ug.mL-1,0.8,CHEMBL356,Streptococcus pyogenes,MIC,ug ml-1,0.8
CHEMBL9,,MIC,ug.mL-1,0.06,CHEMBL614439,Enterobacter,MIC,ug ml-1,0.06
CHEMBL9,,PD50,mg kg-1,4.0,CHEMBL375,Mus musculus,PD50,mg kg-1,4.0
CHEMBL9,,PD50,mg kg-1,0.6,CHEMBL375,Mus musculus,PD50,mg kg-1,0.6
CHEMBL9,,PD50,mg kg-1,76.0,CHEMBL375,Mus musculus,PD50,mg kg-1,76.0
CHEMBL9,,PD50,mg kg-1,11.0,CHEMBL375,Mus musculus,PD50,mg kg-1,11.0
CHEMBL9,,PD50,mg kg-1,100.0,CHEMBL375,Mus musculus,PD50,mg kg-1,100.0
CHEMBL9,,PD50,mg kg-1,45.0,CHEMBL375,Mus musculus,PD50,mg kg-1,45.0
CHEMBL6,,Reduction,%,37.0,CHEMBL376,Rattus norvegicus,Reduction,%,37.0
CHEMBL6,,Reduction,%,56.0,CHEMBL376,Rattus norvegicus,Reduction,%,56.0
CHEMBL6,,Reduction,%,77.0,CHEMBL376,Rattus norvegicus,Reduction,%,77.0
CHEMBL6,,Reduction,%,91.0,CHEMBL376,Rattus norvegicus,Reduction,%,91.0
CHEMBL6,,Reduction,%,70.0,CHEMBL369,Cavia porcellus,Reduction,%,70.0
CHEMBL6,,Reduction,%,84.0,CHEMBL369,Cavia porcellus,Reduction,%,84.0
CHEMBL6,,Reduction,%,91.0,CHEMBL369,Cavia porcellus,Reduction,%,91.0
CHEMBL6,,Reduction,%,12.0,CHEMBL369,Cavia porcellus,Reduction,%,12.0
CHEMBL6,,Reduction,%,81.0,CHEMBL369,Cavia porcellus,Reduction,%,81.0
CHEMBL2,10.38,Kd,nM,0.04169,CHEMBL1907610,Adrenergic receptor alpha-1,pA2,,10.38
CHEMBL2,,ED50,mg.kg-1,0.04,CHEMBL1907610,Adrenergic receptor alpha-1,ED50,mg kg-1,0.04
CHEMBL2,,ID50,mg.kg-1,10.0,CHEMBL339,D(2) dopamine receptor,ID50,mg kg-1,10.0
